company,industry,headcount,region,tech_stack,key_pain_points,champion_role,budget_range,priority_tier,status,notes,contact_name,contact_title,contact_email,outreach_tier
Acme Analytics,SaaS,150,NA,Python FastAPI React Postgres,"Inconsistent AI model evaluations across teams",CTO,"$50k-$100k",A,uncontacted,"Enterprise SaaS leader seeking standardization",John Doe,CTO,john.doe@acmeanalytics.example,standard
Beta FinTech,Beta FinTech,FinTech,300,EU,Node.js Stripe Snowflake,"Regulatory compliance in model testing delays",Head of AI,"$100k-$250k",A,uncontacted,"FinTech innovator with strict compliance needs",Jane Smith,Head of AI,jane.smith@betafin.example,executive
Gamma Retail,Gamma Retail,Retail,800,NA,Java Spring Boot MongoDB,"Slow A/B testing for recommendation systems",VP Engineering,"$25k-$75k",B,uncontacted,"Large retailer scaling AI personalization",Mike Johnson,VP Engineering,mike.johnson@gammar retail.example,standard
Delta Health,Delta Health,Healthcare,200,APAC,Python Django AWS RDS,"Lack of reproducible ML pipelines in healthcare",Chief Data Officer,"$75k-$150k",A,uncontacted,"Health tech focused on patient data privacy",Sarah Lee,Chief Data Officer,sarah.lee@deltahealth.example,executive
Epsilon Media,Epsilon Media,Media,100,NA,React Next.js Elasticsearch,"Fragmented content recommendation evals",Head of ML,"$50k-$100k",B,uncontacted,"Media company needing robust AI benchmarks",Tom Wilson,Head of ML,tom.wilson@epsilonmedia.example,short
Zeta Manufacturing,Zeta Manufacturing,Manufacturing,1200,EU,.NET Azure SQL Server,"Scalability issues in predictive maintenance models",Director of IT,"$100k-$200k",A,uncontacted,"Manufacturer optimizing IoT data processing",Lisa Chen,Director of IT,lisa.chen@zetamanuf.example,standard
Eta GovTech,Eta GovTech,GovTech,75,NA,Go Kubernetes Postgres,"Compliance gaps in public sector AI deployments",CIO,"$25k-$50k",C,uncontacted,"GovTech firm ensuring regulatory adherence",David Kim,CIO,david.kim@etagov.example,short
Theta Ecom,Theta Ecom,Retail,500,APAC,PHP Laravel MySQL,"High latency in e-commerce eval pipelines",Head of Platform,"$75k-$150k",B,uncontacted,"APAC retailer with AI-driven personalization",Anna Garcia,Head of Platform,anna.garcia@thetaecom.example,standard
Iota Health,Iota Health,Healthcare,400,EU,Ruby Rails Snowflake,"Standardized benchmarks for clinical AI",VP Data Science,"$100k-$250k",A,uncontacted,"Healthcare innovator accelerating trials",Robert Taylor,VP Data Science,robert.taylor@iotahealth.example,executive
Kappa SaaS,Kappa SaaS,SaaS,250,NA,Python Flask GCP BigQuery,"Unreliable metrics for SaaS AI features",CTO,"$50k-$100k",B,uncontacted,"SaaS provider scaling user analytics",Emily Davis,CTO,emily.davis@kappasass.example,standard
Lambda Fin,Lambda Fin,FinTech,600,NA,Swift React Native DynamoDB,"False positives in fraud detection models",Head of Security,"$150k-$300k",A,uncontacted,"FinTech focused on risk management",Chris Brown,Head of Security,chris.brown@lambdafin.example,executive
Mu Media,Mu Media,Media,180,APAC,Angular Firebase MongoDB,"Performance variability in content AI testing",Director of Engineering,"$25k-$75k",C,uncontacted,"Media outlet with advanced recommendation needs",Sophia Martinez,Director of Engineering,sophia.martinez@mumedia.example,short
Nu Manufacturing,Nu Manufacturing,Manufacturing,900,EU,C# .NET Oracle,"Data quality issues in manufacturing evals",Chief AI Officer,"$100k-$200k",B,uncontacted,"Manufacturer with ML for supply chain",James Rodriguez,Chief AI Officer,james.rodriguez@numanuf.example,standard
Xi GovTech,Xi GovTech,GovTech,350,NA,Kotlin Spring Boot H2,"Adversarial robustness in gov AI systems",Head of Innovation,"$50k-$100k",A,uncontacted,"GovTech ensuring secure public deployments",Maria Lopez,Head of Innovation,maria.lopez@xigov.example,executive
Omicron Retail,Omicron Retail,Retail,110,APAC,Vue.js Express.js Redis,"Inaccurate prediction models for inventory",VP Product,"$25k-$50k",C,uncontacted,"Retailer optimizing stock with AI",Daniel Anderson,VP Product,daniel.anderson@omicronretail.example,short
Pi SaaS,Pi SaaS,SaaS,700,EU,Dart Flutter PostgreSQL,"Difficulty benchmarking new SaaS models",CTO,"$75k-$150k",B,uncontacted,"SaaS company with research reproducibility needs",Laura White,CTO,laura.white@pisass.example,standard
Rho FinTech,Rho FinTech,FinTech,280,NA,Elixir Phoenix Cassandra,"Compliance in financial AI model validation",Head of Compliance,"$100k-$250k",A,uncontacted,"FinTech with regulatory focus",Kevin Harris,Head of Compliance,kevin.harris@rhofintech.example,executive
Sigma Health,Sigma Health,Healthcare,550,APAC,Scala Spark Hadoop,"Lack of health AI standardization",Director of ML,"$50k-$100k",B,uncontacted,"Healthcare provider with clinical benchmarks",Patricia Lewis,Director of ML,patricia.lewis@sigmahealth.example,standard
Tau Media,Tau Media,Media,220,EU,Svelte SvelteKit Supabase,"Unreliable A/B tests for media AI",Head of Data,"$25k-$75k",C,uncontacted,"Media firm with campaign personalization",Mark Clark,Head of Data,mark.clark@taumedia.example,short
Upsilon Gov,Upsilon Gov,GovTech,950,NA,Rust Actix-web SQLite,"Scaling evals for gov tech workflows",CIO,"$150k-$300k",A,uncontacted,"GovTech leader in public sector AI",Jennifer Walker,CIO,jennifer.walker@upsilongov.example,executive
